Region,Territory Level and Typology,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
  FI19: Western Finland,Large regions (TL2),32479.9,33281.6,34094.2,36434.6,38043.2,40757.8,45064.3,48149.1,45420.9,46691.5,49984,50136.3,49941.8,..
    FI193: Central Finland,Small regions (TL3) - predominantly rural close to a city,6315.98,6503.81,6559.39,6823.28,6999.36,7543.6,8337.53,8936.07,8513.03,8150.04,8811.18,8946.61,..,..
    FI194: Southern Ostrobothnia,Small regions (TL3) - predominantly rural remote,3650.53,3763.74,3932.27,4245.57,4431.91,4808.23,5432.9,5744.15,5553.18,5732.69,6145.13,6247.7,..,..
    FI195: Ostrobothnia,Small regions (TL3) - predominantly rural close to a city,4326.04,4168.42,4426.77,4848.71,5119.56,5511.82,6161.18,6686.8,6609.56,7141.16,7283.16,7407.02,..,..
    FI196: Satakunta,,5928.28,6040.32,6029.21,6221.16,6542.97,7043.29,7521,7912.78,7505.38,7890.96,8374.92,8527.12,..,..
    FI197: Pirkanmaa,Small regions (TL3) - intermediate,12259.1,12804.3,13147.5,14296.9,14950.4,15850.8,17612.8,18870.4,17238.7,17776.6,19370.7,19009,..,..
  FI1B: Helsinki-Uusimaa,Large regions (TL2),53224,54288.1,54521.6,59200,61580.1,67520.6,74078.8,79325.1,77508.7,79599,81940.3,81703.9,81386.6,..
    FI1B1: Helsinki-Uusimaa,Small regions (TL3) - predominantly urban,53224,54288.1,54521.6,59200,61580.1,67520.6,74078.8,79325.1,77508.7,79599,81940.3,81703.9,..,..
  FI1C: Southern Finland,Large regions (TL2),28592,30037.1,30287.8,33031.2,33743.3,35932.7,38850,40798.6,37911.1,37853.1,41031.8,41565.6,41404,..
    FI1C1: Finland Proper,Small regions (TL3) - intermediate,11760.6,13257.8,13001.9,14212.8,14564.6,15821.3,17529.9,18279.7,17013.9,16039.9,17340.3,17256.9,..,..
    FI1C2: Tavastia Proper,,3635.69,3688.98,3901.55,4295.83,4375.62,4663.93,5034.2,5623.19,5112.47,5214.53,5661.5,6124.57,..,..
    FI1C3: Päijät-Häme,,4362.64,4348.83,4593.26,4950.26,5133.89,5373.84,5690.19,6178.97,5835.55,6167.42,6556.06,6773.97,..,..
    FI1C4: Kymenlaakso,,5204.31,5122.31,5057.05,5688.8,5813.36,5991.06,6083.57,6093.97,5643.98,5840.28,6302.67,6326.15,..,..
    FI1C5: South Karelia,,3629.76,3620.21,3734.07,3883.48,3856.81,4081.46,4511.11,4622.78,4305.24,4590.98,5171.26,5084.02,..,..
  FI1D: Eastern and Northern Finland,Large regions (TL2),27494.2,29123.1,30258,32781.9,33717.7,36395.1,39138.1,41566.9,38263.2,39909.3,42515.8,42779.4,42613.8,..
    FI1D1: Southern Savonia,Small regions (TL3) - predominantly rural remote,3026.45,3129.8,3259.38,3546.01,3667.5,3877.13,4329.31,4371.05,4145.78,4292.38,4516.86,4615.5,..,..
    FI1D2: Northern Savonia,Small regions (TL3) - predominantly rural close to a city,5262.66,5397.42,5554.53,5871.38,6210.4,6618.82,7200.98,7858.3,7269.52,7558.33,8262.55,8174.09,..,..
    FI1D3: North Karelia,Small regions (TL3) - predominantly rural remote,3335.03,3356.07,3530.91,3869.12,3981.65,4343.73,4510.05,4665.28,4376.11,4532.8,5107.36,5042.61,..,..
    FI1D4: Kainuu,,1682.35,1708.43,1709.47,1846.35,1827.61,2031.78,2131.7,2307.03,2064.03,2243.9,2396.14,2386.2,..,..
    FI1D5: Central Ostrobothnia,,1377.73,1341.63,1431.99,1564.27,1645.46,1970.69,2134.88,2364.79,2167.01,2277.93,2500.8,2436.32,..,..
